state,population
AK,5157699
AL,740133
AR,7582384
AZ,3088354
CA,39431263
CO,5957493
CT,3675069
DC,1051917
DE,702250
FL,23372215
GA,11180878
HI,1446146
IA,2001619
ID,12710158
IL,6924275
IN,3241488
KS,2970606
KY,4588372
LA,4597740
MA,1405012
MD,6263220
ME,7136171
MI,10140459
MN,5793151
MO,2943045
MS,6245466
MT,1137233
NC,2005465
ND,3267467
NE,1409032
NH,9500851
NJ,2130256
NM,19867248
NV,11046024
NY,796568
OH,11883304
OK,4095393
OR,4272371
PA,13078751
RI,1112308
SC,5478831
SD,924669
TN,7227750
TX,31290831
UT,3503613
VA,648493
VT,8811195
WA,7958180
WI,1769979
WV,5960975
WY,587618
